,name,address,description
10,KFC,"Станиславского, 40/1, Новосибирск","Ресторан с названием 'KFC' по адресу Станиславского, 40/1, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 9.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-486565/"
11,KFC,"​Большевистская, 12/1, Новосибирск","Ресторан с названием 'KFC' по адресу ​Большевистская, 12/1, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 9.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-489423/"
12,KFC,"​пл. Карла Маркса, 1, ГУМ, Новосибирск","Ресторан с названием 'KFC' по адресу ​пл. Карла Маркса, 1, ГУМ, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 8.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-489426/"
13,Kids Time,"пл. Райсовета, 8, Новосибирск","Ресторан с названием 'Kids Time' по адресу пл. Райсовета, 8, Новосибирск со средним чеком До 700 рублей. 'Kids Time' специализируется на Европейская кухня. График работы: пн-вс 10.00–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kids-time-486540/"
14,King,"Кропоткина, 271, БЦ «На Кропоткина», цокольный этаж, Новосибирск","Ресторан с названием 'King' по адресу Кропоткина, 271, БЦ «На Кропоткина», цокольный этаж, Новосибирск со средним чеком необходимо уточнить. 'King' специализируется на Паровые коктейли. График работы: пн-чт 12.00–2.00, пт 12.00–4.00, сб 14.00–4.00, вс 14.00–2.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/king-270415/"
15,Kook,"Державина, 1, Новосибирск","Кофейня с названием 'Kook' по адресу Державина, 1, Новосибирск со средним чеком До 700 рублей. 'Kook' специализируется на Бургеры, Европейская кухня. График работы: пн-вс 8.30–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kook-313420/"
16,Kraft Xleb,"Балтийская, 25, Новосибирск","Кофейня с названием 'Kraft Xleb' по адресу Балтийская, 25, Новосибирск со средним чеком необходимо уточнить. 'Kraft Xleb' специализируется на Неизвестно. График работы: пн-вс 8.00–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kraft-xleb-442770/"
17,Kristina,"Большевистская, 131, Новосибирск","Кофейня с названием 'Kristina' по адресу Большевистская, 131, Новосибирск со средним чеком необходимо уточнить. 'Kristina' специализируется на Неизвестно. График работы: пн-пт 8.00–17.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kristina-480915/"
18,Kukuruzza,"Николаева, 12/2, Новосибирск","Ресторан с названием 'Kukuruzza' по адресу Николаева, 12/2, Академгородок, Новосибирск со средним чеком До 700 рублей. 'Kukuruzza' специализируется на Русская кухня. График работы: пн-пт 8.30–16.30. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kukuruzza-74116/"
19,Kukuruzza,"Инженерная, 20, Новосибирск","Ресторан с названием 'Kukuruzza' по адресу Инженерная, 20, Новосибирск со средним чеком До 700 рублей. 'Kukuruzza' специализируется на Русская кухня. График работы: пн-пт 9.00–16.30. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kukuruzza-259256/"
20,Kung Pho,"Красный просп., 17, Новосибирск","Ресторан с названием 'Kung Pho' по адресу Красный просп., 17, Новосибирск со средним чеком До 700 рублей. 'Kung Pho' специализируется на Вьетнамская кухня. График работы: пн-вс 11.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kung-pho-408538/"
21,Kung Pho,"Гоголя, 13, ТРЦ «Галерея Новосибирск»","Ресторан с названием 'Kung Pho' по адресу Гоголя, 13, ТРЦ «Галерея Новосибирск» со средним чеком До 700 рублей. 'Kung Pho' специализируется на Вьетнамская кухня. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kung-pho-456129/"
22,Kung Pho,"Морской просп., 22, Новосибирск","Ресторан с названием 'Kung Pho' по адресу Морской просп., 22, Академгородок, Новосибирск со средним чеком До 700 рублей. 'Kung Pho' специализируется на Вьетнамская кухня. График работы: пн-вс 11.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kung-pho-458332/"
23,Kung Pho,"​Красный просп., 157, Новосибирск","Ресторан с названием 'Kung Pho' по адресу ​Красный просп., 157, Новосибирск со средним чеком До 700 рублей. 'Kung Pho' специализируется на Вьетнамская кухня. График работы: пн-вс 11.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kung-pho-488185/"
24,На острове,"Плотинная, 5/2, Новосибирск","Ресторан с названием 'На острове' по адресу Плотинная, 5/2, Новосибирск со средним чеком До 700 рублей. 'На острове' специализируется на Европейская кухня, Русская кухня. График работы: пн-пт 7.30–16.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/na-ostrove-457309/"
25,Напеку,"​Софийская, 1, корп. 1, Новосибирск","Кафе с названием 'Напеку' по адресу ​Софийская, 1, корп. 1, Новосибирск со средним чеком необходимо уточнить. 'Напеку' специализируется на Пироги. График работы: пн-вс 8.00–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/napeku-488256/"
26,Натали,"Коммунистическая, 48, Новосибирск","Ресторан с названием 'Натали' по адресу Коммунистическая, 48, Новосибирск со средним чеком До 700 рублей. 'Натали' специализируется на Австрийская кухня, Вегетарианское меню, Европейская кухня. График работы: пн-сб 8.30–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/natali-15812/"
27,На углях,"Ленина, 3, гостиница «Центральная», Новосибирск","Ресторан с названием 'На углях' по адресу Ленина, 3, гостиница «Центральная», Новосибирск со средним чеком 700–1700 рублей. 'На углях' специализируется на Бургеры, Европейская кухня, Пицца, Стейки. График работы: пн-чт, вс 11.00–0.00, пт-сб 11.00–1.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/na-ugliakh-374360/"
28,Начинка,"микрорайон Стрижи, 11, Новосибирск","Ресторан с названием 'Начинка' по адресу микрорайон Стрижи, 11, Новосибирск со средним чеком До 700 рублей. 'Начинка' специализируется на Европейская кухня, Пельмени, Русская кухня, Узбекская кухня. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/nachinka-454704/"
29,На Чукотке,"Чукотская, 2, Новосибирск","Ресторан с названием 'На Чукотке' по адресу Чукотская, 2, Новосибирск со средним чеком До 700 рублей. 'На Чукотке' специализируется на Европейская кухня, Русская кухня. График работы: пн-пт 8.00–16.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/na-chukotke-482776/"
30,Наша столовая,"Тайгинская, 13/1, Новосибирск","Ресторан с названием 'Наша столовая' по адресу Тайгинская, 13/1, Новосибирск со средним чеком До 700 рублей. 'Наша столовая' специализируется на Пироги, Русская кухня. График работы: пн-пт 8.00–18.00, сб 9.00–15.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/nasha-stolovaia-74859/"
31,Неаполь,"просп. Карла Маркса, 39, Новосибирск","Кондитерская с названием 'Неаполь' по адресу просп. Карла Маркса, 39, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 9.00–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-21635/"
32,Неаполь,"Котовского, 13, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Котовского, 13, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 8.00–20.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406468/"
33,Неаполь,"Блюхера, 8, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Блюхера, 8, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 8.00–20.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406469/"
34,Неаполь,"Станиславского, 16, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Станиславского, 16, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 8.00–20.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406470/"
35,Неаполь,"Станиславского, 6, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Станиславского, 6, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 9.00–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406471/"
36,Неаполь,"Петухова, 63/2, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Петухова, 63/2, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-пт 9.00–18.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406472/"
37,Неаполь,"Сержанта Коротаева, 5, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Сержанта Коротаева, 5, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 9.00–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406473/"
38,Неаполь,"пос. Краснообск, 111, Новосибирская область","Кондитерская с названием 'Неаполь' по адресу пос. Краснообск, 111, Новосибирская область со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 8.00–20.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406474/"
39,Неаполь,"Громова, 7, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Громова, 7, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 8.00–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406475/"
40,Неаполь,"Петухова, 99/1, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Петухова, 99/1, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 9.00–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406476/"
41,Неаполь,"Первомайская, 234, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Первомайская, 234, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 8.00–20.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406478/"
42,Неаполь,"Гоголя, 204/1, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Гоголя, 204/1, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 9.00–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406479/"
43,Неаполь,"Российская, 21, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Российская, 21, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-сб 9.00–21.00, вс 9.00–19.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406480/"
44,Неаполь,"Ленина, 73, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Ленина, 73, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 8.00–20.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406481/"
45,Неаполь,"Виктора Уса, 1/2, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Виктора Уса, 1/2, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 9.00–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-406482/"
46,Неаполь,"Декабристов, 41, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Декабристов, 41, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-вс 8.00–20.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-486138/"
47,Неаполь,"Плахотного, 2, Новосибирск","Кондитерская с названием 'Неаполь' по адресу Плахотного, 2, Новосибирск со средним чеком необходимо уточнить. 'Неаполь' специализируется на Торты на заказ. График работы: пн-пт 8.00–19.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/neapol-486139/"
48,Il Патио,"Ватутина, 107, ТЦ «Мега Новосибирск»","Ресторан с названием 'Il Патио' по адресу Ватутина, 107, ТЦ «Мега Новосибирск» со средним чеком 700–1700 рублей. 'Il Патио' специализируется на Итальянская кухня, Паста, Пицца. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/il-patio-35215/"
49,Il Патио,"Военная, 5, ТРЦ «Аура», Новосибирск","Ресторан с названием 'Il Патио' по адресу Военная, 5, ТРЦ «Аура», Новосибирск со средним чеком 700–1700 рублей. 'Il Патио' специализируется на Итальянская кухня, Паста, Пицца. График работы: пн-чт, вс 10.00–22.00, пт-сб 10.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/il-patio-74068/"
50,Il Патио,"Красный просп., 29, Новосибирск","Ресторан с названием 'Il Патио' по адресу Красный просп., 29, Новосибирск со средним чеком 700–1700 рублей. 'Il Патио' специализируется на Итальянская кухня, Паста, Пицца. График работы: пн-чт, вс 8.00–1.00, пт-сб 8.00–3.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/il-patio-410933/"
51,Italiano,"аэропорт Обь-4, Новосибирск","Ресторан с названием 'Italiano' по адресу аэропорт Обь-4, Новосибирск со средним чеком 700–1700 рублей. 'Italiano' специализируется на Европейская кухня, Итальянская кухня. График работы: круглосуточно. Сайт: https://www.afisha.ru/novosibirsk/restaurant/italiano-314094/"
52,Jawsspot,"Максима Горького, 54, Новосибирск","Бар с названием 'Jawsspot' по адресу Максима Горького, 54, Новосибирск со средним чеком необходимо уточнить. 'Jawsspot' специализируется на Неизвестно. График работы: пн-чт, вс 15.00–1.00, пт-сб 15.00–3.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/jawsspot-456659/"
53,Jazz Club,"Челюскинцев, 14/2, Новосибирск","Ресторан с названием 'Jazz Club' по адресу Челюскинцев, 14/2, Новосибирск со средним чеком 700–1700 рублей. 'Jazz Club' специализируется на Европейская кухня. График работы: пн-чт, вс 11.00–0.00, пт-сб 11.00–2.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/jazz-club-456128/"
54,John Gregor Old Pub,"Ленина, 8, Новосибирск","Ресторан с названием 'John Gregor Old Pub' по адресу Ленина, 8, Новосибирск со средним чеком 700–1700 рублей. 'John Gregor Old Pub' специализируется на Английская кухня, Бургеры, Европейская кухня, Пицца, Стейки. График работы: пн-чт 12.00–0.00, пт 12.00–2.00, сб 14.00–2.00, вс 14.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/john-gregor-old-pub-62244/"
55,Jonathan,"Красный просп., 22, 1 этаж, Новосибирск","Ресторан с названием 'Jonathan' по адресу Красный просп., 22, 1 этаж, Новосибирск со средним чеком 700–1700 рублей. 'Jonathan' специализируется на Американская кухня, Бургеры, Итальянская кухня, Паста, Пицца. График работы: пн-чт 12.00–0.00, пт 12.00–2.00, сб 14.00–2.00, вс 14.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/jonathan-87503/"
56,Kabančik,"Восход, 32, Новосибирск","Ресторан с названием 'Kabančik' по адресу Восход, 32, Новосибирск со средним чеком 700–1700 рублей. 'Kabančik' специализируется на Немецкая кухня, Чешская кухня. График работы: пн-чт, вс 12.00–23.00, пт-сб 12.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kabancik-494841/"
57,Kannam Chicken,"Троллейная, 130а, ТРЦ «Континент», Новосибирск","Ресторан с названием 'Kannam Chicken' по адресу Троллейная, 130а, ТРЦ «Континент», Новосибирск со средним чеком До 700 рублей. 'Kannam Chicken' специализируется на Корейская кухня, Суши, Японская кухня. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kannam-chicken-487604/"
58,Kebab Grill,"Фрунзе, 238, ТРЦ «Сибирский молл», 1 этаж, Новосибирск","Ресторан с названием 'Kebab Grill' по адресу Фрунзе, 238, ТРЦ «Сибирский молл», 1 этаж, Новосибирск со средним чеком До 700 рублей. 'Kebab Grill' специализируется на Турецкая кухня, Узбекская кухня. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kebab-grill-312906/"
59,Kellers,"Шевченко, 31а, Новосибирск","Ресторан с названием 'Kellers' по адресу Шевченко, 31а, Новосибирск со средним чеком 700–1700 рублей. 'Kellers' специализируется на Бургеры, Вегетарианское меню, Европейская кухня, Немецкая кухня. График работы: пн-сб 12.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kellers-35263/"
60,KFC,"Красный просп., 29, Новосибирск","Ресторан с названием 'KFC' по адресу Красный просп., 29, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: круглосуточно. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-35233/"
61,KFC,"Красный просп., 101, ТРК «Ройял-парк», 2 этаж, Новосибирск","Ресторан с названием 'KFC' по адресу Красный просп., 101, ТРК «Ройял-парк», 2 этаж, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 10.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-35235/"
62,KFC,"Вокзальная магистраль, 1, Marins Park Hotel Novosibirsk, Новосибирск","Ресторан с названием 'KFC' по адресу Вокзальная магистраль, 1, Marins Park Hotel Novosibirsk, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: круглосуточно. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-35236/"
63,KFC,"Фрунзе, 238, ТРЦ «Сибирский молл», Новосибирск","Ресторан с названием 'KFC' по адресу Фрунзе, 238, ТРЦ «Сибирский молл», Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 10.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-35237/"
64,KFC,"просп. Карла Маркса, 24, Новосибирск","Ресторан с названием 'KFC' по адресу просп. Карла Маркса, 24, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-пт 8.00–0.00, сб-вс 10.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-35238/"
65,KFC,"Ватутина, 107, ТЦ «Мега Новосибирск»","Ресторан с названием 'KFC' по адресу Ватутина, 107, ТЦ «Мега Новосибирск» со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-35239/"
66,KFC,"пл. Карла Маркса, 2, ТЦ Festival Gallery, Новосибирск","Ресторан с названием 'KFC' по адресу пл. Карла Маркса, 2, ТЦ Festival Gallery, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-пт 8.00–0.00, сб-вс 9.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-35240/"
67,KFC,"Военная, 5, ТРЦ «Аура», 4 этаж, Новосибирск","Ресторан с названием 'KFC' по адресу Военная, 5, ТРЦ «Аура», 4 этаж, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 10.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-38284/"
68,KFC,"Дуси Ковальчук, 179/4, ТРК «Калина-центр», Новосибирск","Ресторан с названием 'KFC' по адресу Дуси Ковальчук, 179/4, ТРК «Калина-центр», Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 8.00–2.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-74046/"
69,KFC,"Гоголя, 13, ТРЦ «Галерея Новосибирск»","Ресторан с названием 'KFC' по адресу Гоголя, 13, ТРЦ «Галерея Новосибирск» со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-74048/"
70,KFC,"Гоголя, 15, ТЦ «Юпитер», Новосибирск","Ресторан с названием 'KFC' по адресу Гоголя, 15, ТЦ «Юпитер», Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 9.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-74049/"
71,KFC,"пл. Карла Маркса, 7, МФК «Сан-сити», Новосибирск","Ресторан с названием 'KFC' по адресу пл. Карла Маркса, 7, МФК «Сан-сити», Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-74051/"
72,Минори,"Романтиков, 2, Новосибирск","Ресторан с названием 'Минори' по адресу Романтиков, 2, Новосибирск со средним чеком До 700 рублей. 'Минори' специализируется на Вок, Суши, Японская кухня. График работы: пн-чт, вс 10.00–22.00, пт-сб 10.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/minori-455390/"
73,Минутка,"Михаила Перевозчикова, 2, цокольный этаж, Новосибирск","Ресторан с названием 'Минутка' по адресу Михаила Перевозчикова, 2, цокольный этаж, Новосибирск со средним чеком До 700 рублей. 'Минутка' специализируется на Европейская кухня, Русская кухня. График работы: пн-пт 11.00–18.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/minutka-74094/"
74,Минутка,"Ионосферная, 100, Новосибирск","Ресторан с названием 'Минутка' по адресу Ионосферная, 100, Новосибирск со средним чеком До 700 рублей. 'Минутка' специализируется на Европейская кухня, Русская кухня. График работы: пн-вс 9.00–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/minutka-454673/"
75,Мозаика,"Оловозаводская, 25, корп. 2, Новосибирск","Ресторан с названием 'Мозаика' по адресу Оловозаводская, 25, корп. 2, Новосибирск со средним чеком До 700 рублей. 'Мозаика' специализируется на Русская кухня. График работы: пн-пт 9.00–17.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/mozaika-346522/"
76,Мозаика,"2-я Станционная, 30, корп. 4, Новосибирск","Ресторан с названием 'Мозаика' по адресу 2-я Станционная, 30, корп. 4, Новосибирск со средним чеком До 700 рублей. 'Мозаика' специализируется на Русская кухня. График работы: пн-пт 9.30–15.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/mozaika-406439/"
77,Молочай,"Геодезическая, 4/1, ТЦ «Амстердам», Новосибирск","Ресторан с названием 'Молочай' по адресу Геодезическая, 4/1, ТЦ «Амстердам», Новосибирск со средним чеком До 700 рублей. 'Молочай' специализируется на Китайская кухня. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/molochai-492530/"
78,Море вкусов,"​Комбинатская, 10, Новосибирск","Ресторан с названием 'Море вкусов' по адресу ​Комбинатская, 10, Новосибирск со средним чеком До 700 рублей. 'Море вкусов' специализируется на Европейская кухня, Русская кухня. График работы: пн-пт 9.00–16.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/more-vkusov-488267/"
79,Море вкусов,"​Королева, 40, корп. 40, Новосибирск","Ресторан с названием 'Море вкусов' по адресу ​Королева, 40, корп. 40, Новосибирск со средним чеком До 700 рублей. 'Море вкусов' специализируется на Европейская кухня, Русская кухня. График работы: пн-пт 9.00–17.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/more-vkusov-488268/"
80,Морики,"Красный просп., 24, цокольный этаж, Новосибирск","Ресторан с названием 'Морики' по адресу Красный просп., 24, цокольный этаж, Новосибирск со средним чеком 700–1700 рублей. 'Морики' специализируется на Паназиатская кухня, Устрицы. График работы: пн-чт 17.00–1.00, пт 17.00–2.00, сб 15.00–2.00, вс 15.00–1.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/moriki-456656/"
